datetime,open,high,low,close,volume,month,MA20,MA50
2025-10-20 15:15:00,4280.87,4299.53,4278.45,4293.8,18600,10,4261.735500000001,4256.2864
2025-10-20 15:30:00,4293.83,4323.63,4291.9,4320.03,18485,10,4264.786,4258.1872
2025-10-20 15:45:00,4319.96,4327.03,4312.42,4323.53,17575,10,4268.206,4260.22
2025-10-20 16:00:00,4323.6,4325.17,4312.98,4319.03,22871,10,4271.124,4261.787200000001
2025-10-20 16:15:00,4319.17,4322.43,4315.28,4320.11,17027,10,4274.102,4263.2018
2025-10-20 16:30:00,4320.04,4321.0,4302.7,4308.04,27432,10,4276.55,4264.2627999999995
2025-10-20 16:45:00,4308.05,4317.19,4299.4,4300.82,20313,10,4278.661,4265.0262
2025-10-20 17:00:00,4300.68,4316.88,4292.45,4316.18,19119,10,4281.8375,4266.0292
2025-10-20 17:15:00,4316.19,4334.69,4316.19,4326.34,20885,10,4285.532,4267.3082
2025-10-20 17:30:00,4326.3,4329.9,4316.23,4325.26,15301,10,4288.8805,4268.559
2025-10-20 17:45:00,4325.18,4335.46,4324.12,4332.17,13055,10,4292.4545,4269.864799999999
2025-10-20 18:00:00,4332.33,4347.48,4332.15,4346.24,12564,10,4297.093,4271.5704
2025-10-20 18:15:00,4346.36,4356.28,4341.35,4345.14,13300,10,4301.553,4273.3584
2025-10-20 18:30:00,4345.1,4351.18,4343.83,4349.94,11072,10,4306.161,4275.2824
2025-10-20 18:45:00,4349.95,4351.3,4346.81,4349.12,12649,10,4310.8695,4277.1656
2025-10-20 19:00:00,4349.36,4350.74,4342.63,4346.35,10067,10,4315.437,4278.9954
2025-10-20 19:15:00,4346.34,4350.24,4343.82,4345.12,10095,10,4319.5595,4280.6024
2025-10-20 19:30:00,4345.09,4348.62,4343.26,4346.15,7817,10,4323.6765,4282.2918
2025-10-20 19:45:00,4346.36,4349.7,4343.91,4347.77,7719,10,4327.094999999999,4283.9608
2025-10-20 20:00:00,4347.84,4351.02,4346.05,4346.55,8615,10,4330.3845,4285.5596
